1198967912      145	30
1199052968	145     30
1199053856	145	30
1199055040	145	30
1199220992	69	30
1199496944	145	30
1199498128	145	30
1199499224	145	30
1199503440	145	30
1199504624	145	30
1199505792	145	30
1199506680	145	30
1199509008	145	30
1199510192	145	30
1199573432	145	30
1199575504	145	30
1199576664	145	30
1199591976	145	30
1199666136	145	30
1199677168	145	30
1200354592	145	30
1200365608	145	30
1201042112	145	30
1201213368	145	30
1201311440	145	30
1201473104	145	30
1201559168	145	30
1201647528	145	30
1203884400	121	30
1203886504	121	30
1203887584	93	30
1204056728	121	30
1204058952	145	30
1204060032	121	30
1204224736	93	30
1204225816	69	30
1204225936	93	30
1204227016	69	30
1204229176	145	30
1204231280	145	30
1204232360	121	30
1204233560	121	30
1204314264	169	30
1204315344	145	30
1204317560	169	30
1204829208	121	60
1204830288	93	60
1204831488	93	60
1204833584	93	60
1204834664	69	60
1204837904	121	60
1204998416	93	60
1204999496	69	60
1205001656	145	60
1205002736	121	60
1205003816	93	60
1205006032	121	60
1205007112	93	60
1205008192	69	60
1205009272	169	60
1205010352	145	60
1205011432	121	60
1205016808	145	60
1205107248	145	60
1205110632	145	60
1205259184	69	60
1205267888	69	60
1205537200	145	30
1205955160	169	30
1205955280	169	30
1205962840	169	30
1205956360	169	30
1206307680	169	30
