#arb_time(seconds) flux_density(Jy/beam)
8.394139760000001115e+04 4.172770000000000090e-01
8.394189760000001115e+04 1.596029999999999949e-01
8.394239760000001115e+04 9.312759999999999927e-01
8.394289760000001115e+04 -2.436909999999999910e-01
8.394339760000001115e+04 -1.938960000000000128e-01
8.394389760000001115e+04 -2.927660000000000262e-01
8.394439760000001115e+04 7.502889999999999837e-01
8.394489760000001115e+04 -3.680840000000000223e-01
8.394539760000001115e+04 -4.477410000000000001e-01
8.394589760000001115e+04 2.000049999999999883e-01
8.394639760000001115e+04 7.294990000000000085e-01
8.394689760000001115e+04 6.098649999999999904e-01
8.394739760000001115e+04 -3.263690000000000202e-01
8.394789760000001115e+04 3.156939999999999746e-01
8.394839760000001115e+04 -2.862790000000000057e-01
8.394889760000001115e+04 -1.779170000000000057e-02
8.394939760000001115e+04 -4.823310000000000097e-02
8.394989760000001115e+04 2.710750000000000104e-01
8.395039760000001115e+04 3.988459999999999783e-01
8.395089760000001115e+04 3.630880000000000218e-01
8.395139760000001115e+04 -1.053819999999999979e+00
8.395189760000001115e+04 6.350780000000000314e-01
8.395239760000001115e+04 2.130450000000000121e-01
8.395289760000001115e+04 6.775569999999999649e-01
8.395339760000001115e+04 -2.468599999999999961e-01
8.395389760000001115e+04 -1.511369999999999936e-01
8.395439760000001115e+04 2.003880000000000106e-01
8.395489760000001115e+04 3.964420000000000166e-01
8.395539760000001115e+04 -2.260020000000000084e-01
8.395589760000001115e+04 4.025819999999999954e-01
8.395639760000001115e+04 1.306710000000000038e+00
8.395689760000001115e+04 -8.395489999999999897e-01
8.395739760000001115e+04 2.508139999999999814e-01
8.395789760000001115e+04 -2.821379999999999999e-01
8.395839760000001115e+04 2.396919999999999884e-01
8.395889760000001115e+04 5.545820000000000194e-01
8.395939760000001115e+04 8.596960000000000157e-01
8.395989760000001115e+04 6.012129999999999974e-01
8.396039760000001115e+04 -1.014280000000000070e+00
8.396089760000001115e+04 8.982459999999999889e-01
8.396139760000001115e+04 5.829209999999999947e-02
8.396189760000001115e+04 2.393639999999999934e-01
8.396239760000001115e+04 -3.008290000000000131e-01
8.396289760000001115e+04 4.615449999999999831e-01
8.396339760000001115e+04 -1.374110000000000054e-01
8.396389760000001115e+04 2.825679999999999858e-01
8.396439760000001115e+04 2.768139999999999837e-02
8.396489760000001115e+04 7.832360000000000433e-01
8.396539760000001115e+04 -4.672339999999999827e-01
8.396589760000001115e+04 3.479090000000000238e-01
8.396639760000001115e+04 1.463330000000000020e+00
8.396689760000001115e+04 7.905759999999999454e-01
8.396739760000001115e+04 6.687499999999999556e-01
8.396789760000001115e+04 -1.135619999999999963e-01
8.396839760000001115e+04 -3.691889999999999755e-02
8.396889760000001115e+04 1.038030000000000008e+00
8.396939760000001115e+04 9.532049999999999690e-01
8.396989760000001115e+04 1.499389999999999890e-01
8.397039760000001115e+04 9.551760000000000250e-01
8.397089760000001115e+04 2.503589999999999982e-01
8.397139760000001115e+04 3.849380000000000024e-01
8.397189760000001115e+04 1.093509999999999982e+00
8.397239760000001115e+04 8.556230000000000224e-01
8.397289760000001115e+04 1.003849999999999909e+00
8.397339760000001115e+04 5.110289999999999555e-01
8.397389760000001115e+04 7.785050000000000303e-02
8.397439760000001115e+04 1.431429999999999980e+00
8.397489760000001115e+04 7.840799999999999992e-01
8.397539760000001115e+04 -9.395760000000000223e-02
8.397589760000001115e+04 -3.388780000000000091e-03
8.397639760000001115e+04 5.821950000000000180e-01
8.397689760000001115e+04 9.439899999999999958e-01
8.397739760000001115e+04 1.590600000000000014e+00
8.397789760000001115e+04 1.154940000000000078e+00
8.397839760000001115e+04 9.383460000000000134e-01
8.397889760000001115e+04 1.360659999999999981e+00
8.397939760000001115e+04 7.898680000000000145e-01
8.397989760000001115e+04 7.617699999999999472e-01
8.398039760000001115e+04 2.667440000000000033e+00
8.398089760000001115e+04 2.259290000000000020e+00
8.398139760000001115e+04 2.219650000000000123e+00
8.398189760000001115e+04 2.579130000000000145e+00
8.398239760000001115e+04 3.429549999999999876e+00
8.398289760000001115e+04 2.751780000000000115e+00
8.398339760000001115e+04 2.421209999999999862e+00
8.398389760000001115e+04 2.319840000000000124e+00
8.398439760000001115e+04 2.526029999999999998e+00
8.398489760000001115e+04 3.945059999999999789e+00
8.398539760000001115e+04 3.179850000000000065e+00
8.398589760000001115e+04 3.050699999999999967e+00
8.398639760000001115e+04 3.749639999999999862e+00
8.398689760000001115e+04 3.781109999999999971e+00
8.398739760000001115e+04 3.679860000000000131e+00
8.398789760000001115e+04 3.495509999999999895e+00
8.398839760000001115e+04 5.811049999999999827e+00
8.398889760000001115e+04 5.251199999999999868e+00
8.398939760000001115e+04 5.740540000000000198e+00
8.398989760000001115e+04 5.372530000000000250e+00
8.399039760000001115e+04 5.121879999999999988e+00
8.399089760000001115e+04 6.146799999999999820e+00
8.399139760000001115e+04 5.891670000000000407e+00
8.399189760000001115e+04 5.238360000000000127e+00
8.399239760000001115e+04 5.571900000000000297e+00
8.399289760000001115e+04 6.116039999999999921e+00
8.399339760000001115e+04 8.046810000000000684e+00
8.399389760000001115e+04 6.209900000000000198e+00
8.399439760000001115e+04 6.718840000000000146e+00
8.399489760000001115e+04 7.109519999999999840e+00
8.399539760000001115e+04 7.476210000000000022e+00
8.399589760000001115e+04 8.644539999999999225e+00
8.399639760000001115e+04 9.527480000000000615e+00
8.399689760000001115e+04 9.054059999999999775e+00
8.399739760000001115e+04 9.950450000000000017e+00
8.399789760000001115e+04 1.064530000000000065e+01
8.399839760000001115e+04 1.126839999999999975e+01
8.399889760000001115e+04 1.162209999999999965e+01
8.399939760000001115e+04 1.048470000000000013e+01
8.399989760000001115e+04 9.079140000000000654e+00
8.400039760000001115e+04 1.001040000000000063e+01
8.400089760000001115e+04 9.371040000000000703e+00
8.400139760000001115e+04 8.966310000000000002e+00
8.400189760000001115e+04 8.335490000000000066e+00
8.400239760000001115e+04 9.013299999999999201e+00
8.400289760000001115e+04 9.055809999999999249e+00
8.400339760000001115e+04 7.444799999999999862e+00
8.400389760000001115e+04 8.592439999999999856e+00
8.400439760000001115e+04 8.148730000000000473e+00
8.400489760000001115e+04 5.721070000000000100e+00
8.400539760000001115e+04 6.402910000000000323e+00
8.400589760000001115e+04 6.076699999999999768e+00
8.400639760000001115e+04 5.340749999999999886e+00
8.400689760000001115e+04 4.000040000000000262e+00
8.400739760000001115e+04 3.043759999999999799e+00
8.400789760000001115e+04 3.718869999999999898e+00
8.400839760000001115e+04 8.192040000000000433e-01
8.400889760000001115e+04 2.049799999999999844e+00
8.400939760000001115e+04 2.010339999999999794e+00
8.400989760000001115e+04 1.837569999999999926e+00
8.401039765000001353e+04 7.391830000000000345e-01
8.401089765000001353e+04 1.601499999999999924e+00
8.401139765000001353e+04 -1.204599999999999976e-01
8.401189765000001353e+04 1.532569999999999988e+00
8.401239765000001353e+04 8.531120000000000370e-02
8.401289765000001353e+04 1.272280000000000078e-01
8.401339765000001353e+04 1.840140000000000109e-01
8.401389765000001353e+04 -3.508309999999999901e-02
8.401439765000001353e+04 -7.521759999999999557e-01
8.401489765000001353e+04 -2.525029999999999775e-01
8.401539765000001353e+04 3.347910000000000053e-01
8.401589765000001353e+04 -2.974140000000000117e-01
8.401639765000001353e+04 -1.442970000000000086e-01
8.401689765000001353e+04 -1.951610000000000011e-01
8.401739765000001353e+04 -2.842450000000000254e-01
8.401789765000001353e+04 1.249689999999999968e-01
8.401839765000001353e+04 2.469109999999999916e-01
8.401889765000001353e+04 3.534539999999999904e-01
8.401939765000001353e+04 -1.539329999999999865e-01
8.401989765000001353e+04 -3.617730000000000112e-01
8.402039765000001353e+04 6.356929999999999525e-01
8.402089765000001353e+04 -5.081600000000000006e-02
8.402139765000001353e+04 -3.624820000000000264e-01
8.402189765000001353e+04 3.969110000000000138e-01
8.402239765000001353e+04 2.244549999999999879e-01
8.402289765000001353e+04 -1.402920000000000035e-02
8.402339765000001353e+04 -1.001950000000000063e-01
8.402389765000001353e+04 6.376519999999999966e-01
8.402439765000001353e+04 -2.718530000000000113e-01
8.402489765000001353e+04 6.564189999999999747e-01
8.402539765000001353e+04 -9.429509999999999836e-01
8.402589765000001353e+04 -5.527260000000000506e-01
8.402639765000001353e+04 1.342780000000000085e+00
8.402689765000001353e+04 -3.955620000000000247e-01
8.402739765000001353e+04 -4.302380000000000093e-01
8.402789765000001353e+04 -3.787969999999999948e-01
